Site Code,Date (DDMMYYYY),Department,Hour,Actual Hours '22,Budget Rota Hours,Labour Model Hours
D5,2022-08-01 00:00:00,Barback,9,1,1,0
D5,2022-08-01 00:00:00,Bartender,9,5,4,0
D5,2022-08-01 00:00:00,Expo,9,1,1,0
D5,2022-08-01 00:00:00,Hosts,9,4,,
D5,2022-08-01 00:00:00,Runners,9,5,0,0
D5,2022-08-01 00:00:00,Servers,9,8,,
D6,2022-08-01 00:00:00,Barback,9,,0,0
D6,2022-08-01 00:00:00,Bartender,9,3,0,2
D6,2022-08-01 00:00:00,Expo,9,1,0,1
D6,2022-08-01 00:00:00,Hosts,9,3,,
D6,2022-08-01 00:00:00,Runners,9,2,0,0
D6,2022-08-01 00:00:00,Servers,9,4,,
D7,2022-08-01 00:00:00,Barback,9,1,1,0
D7,2022-08-01 00:00:00,Bartender,9,3,3,2
D7,2022-08-01 00:00:00,Expo,9,3,2,1
D7,2022-08-01 00:00:00,Hosts,9,3,,
D7,2022-08-01 00:00:00,Runners,9,1,0,0
D7,2022-08-01 00:00:00,Servers,9,3,,
D8,2022-08-01 00:00:00,Barback,9,,1,0
D8,2022-08-01 00:00:00,Bartender,9,3,4,3
D8,2022-08-01 00:00:00,Expo,9,1,1,1
D8,2022-08-01 00:00:00,Hosts,9,2,,
D8,2022-08-01 00:00:00,Runners,9,3,0,0
D8,2022-08-01 00:00:00,Servers,9,5,,
D1,2022-08-01 00:00:00,Barback,10,1,1,2
D1,2022-08-01 00:00:00,Bartender,10,5,4,3
D1,2022-08-01 00:00:00,Expo,10,2,2,1
D1,2022-08-01 00:00:00,Hosts,10,7,4,6
D1,2022-08-01 00:00:00,Runners,10,4,5,5
D1,2022-08-01 00:00:00,Servers,10,8,12,10
D2,2022-08-01 00:00:00,Barback,10,2,2,1
D2,2022-08-01 00:00:00,Bartender,10,6,6,4
D2,2022-08-01 00:00:00,Expo,10,2,2,1
D2,2022-08-01 00:00:00,Hosts,10,3,3,3
D2,2022-08-01 00:00:00,Runners,10,4,4,4
D2,2022-08-01 00:00:00,Servers,10,4,10,6
D3,2022-08-01 00:00:00,Barback,10,1,2,1
D3,2022-08-01 00:00:00,Bartender,10,5,5,5
D3,2022-08-01 00:00:00,Expo,10,1,1,2
D3,2022-08-01 00:00:00,Hosts,10,6,5,5
D3,2022-08-01 00:00:00,Runners,10,3,5,6
D3,2022-08-01 00:00:00,Servers,10,11,11,9
D4,2022-08-01 00:00:00,Barback,10,1,1,0
D4,2022-08-01 00:00:00,Bartender,10,3,3,3
D4,2022-08-01 00:00:00,Expo,10,1,1,1
D4,2022-08-01 00:00:00,Hosts,10,3,3,2
D4,2022-08-01 00:00:00,Runners,10,3,3,2
D4,2022-08-01 00:00:00,Servers,10,7,5,4
D5,2022-08-01 00:00:00,Barback,10,1,1,1
D5,2022-08-01 00:00:00,Bartender,10,5,5,5
D5,2022-08-01 00:00:00,Expo,10,2,2,2
D5,2022-08-01 00:00:00,Hosts,10,5,5,5
D5,2022-08-01 00:00:00,Runners,10,5,6,5
D5,2022-08-01 00:00:00,Servers,10,11,10,8
D6,2022-08-01 00:00:00,Barback,10,,0,0
D6,2022-08-01 00:00:00,Bartender,10,3,0,3
D6,2022-08-01 00:00:00,Expo,10,1,0,1
D6,2022-08-01 00:00:00,Hosts,10,5,0,3
D6,2022-08-01 00:00:00,Runners,10,3,0,2
D6,2022-08-01 00:00:00,Servers,10,4,0,2
D7,2022-08-01 00:00:00,Barback,10,1,1,0
D7,2022-08-01 00:00:00,Bartender,10,4,3,2
D7,2022-08-01 00:00:00,Expo,10,4,2,1
D7,2022-08-01 00:00:00,Hosts,10,4,4,2
D7,2022-08-01 00:00:00,Runners,10,2,5,2
D7,2022-08-01 00:00:00,Servers,10,3,3,2
D8,2022-08-01 00:00:00,Barback,10,,1,0
D8,2022-08-01 00:00:00,Bartender,10,5,5,4
D8,2022-08-01 00:00:00,Expo,10,1,1,1
D8,2022-08-01 00:00:00,Hosts,10,5,4,3
D8,2022-08-01 00:00:00,Runners,10,4,4,3
D8,2022-08-01 00:00:00,Servers,10,8,8,4
D1,2022-08-01 00:00:00,Barback,11,1,1,2
D1,2022-08-01 00:00:00,Bartender,11,4,4,3
D1,2022-08-01 00:00:00,Expo,11,1,2,1
D1,2022-08-01 00:00:00,Hosts,11,6,4,7
D1,2022-08-01 00:00:00,Runners,11,3,5,5
D1,2022-08-01 00:00:00,Servers,11,6,12,11
D2,2022-08-01 00:00:00,Barback,11,2,2,1
D2,2022-08-01 00:00:00,Bartender,11,6,6,3
D2,2022-08-01 00:00:00,Expo,11,1,2,1
D2,2022-08-01 00:00:00,Hosts,11,2,4,3
D2,2022-08-01 00:00:00,Runners,11,4,5,4
D2,2022-08-01 00:00:00,Servers,11,4,10,8
D3,2022-08-01 00:00:00,Barback,11,1,2,1
D3,2022-08-01 00:00:00,Bartender,11,4,5,5
D3,2022-08-01 00:00:00,Expo,11,1,2,2
D3,2022-08-01 00:00:00,Hosts,11,4,6,5
D3,2022-08-01 00:00:00,Runners,11,3,6,6
D3,2022-08-01 00:00:00,Servers,11,10,14,9
D4,2022-08-01 00:00:00,Barback,11,1,1,0
D4,2022-08-01 00:00:00,Bartender,11,3,3,3
D4,2022-08-01 00:00:00,Expo,11,1,1,1
D4,2022-08-01 00:00:00,Hosts,11,3,4,2
D4,2022-08-01 00:00:00,Runners,11,3,3,2
D4,2022-08-01 00:00:00,Servers,11,6,5,4
D5,2022-08-01 00:00:00,Barback,11,1,1,0
D5,2022-08-01 00:00:00,Bartender,11,5,5,0
D5,2022-08-01 00:00:00,Expo,11,2,2,0
D5,2022-08-01 00:00:00,Hosts,11,5,5,0
D5,2022-08-01 00:00:00,Runners,11,4,6,0
D5,2022-08-01 00:00:00,Servers,11,7,10,0
D6,2022-08-01 00:00:00,Barback,11,1,0,0
D6,2022-08-01 00:00:00,Bartender,11,2,0,3
D6,2022-08-01 00:00:00,Expo,11,1,0,1
D6,2022-08-01 00:00:00,Hosts,11,4,0,3
D6,2022-08-01 00:00:00,Runners,11,3,0,2
D6,2022-08-01 00:00:00,Servers,11,7,0,3
D7,2022-08-01 00:00:00,Barback,11,1,1,0
D7,2022-08-01 00:00:00,Bartender,11,4,3,3
D7,2022-08-01 00:00:00,Expo,11,3,2,1
D7,2022-08-01 00:00:00,Hosts,11,4,4,3
D7,2022-08-01 00:00:00,Runners,11,1,5,3
D7,2022-08-01 00:00:00,Servers,11,4,4,3
D8,2022-08-01 00:00:00,Barback,11,,1,0
D8,2022-08-01 00:00:00,Bartender,11,4,5,4
D8,2022-08-01 00:00:00,Expo,11,1,1,1
D8,2022-08-01 00:00:00,Hosts,11,5,4,4
D8,2022-08-01 00:00:00,Runners,11,3,4,3
D8,2022-08-01 00:00:00,Servers,11,8,8,6
D1,2022-08-01 00:00:00,Barback,12,1,1,2
D1,2022-08-01 00:00:00,Bartender,12,5,4,4
D1,2022-08-01 00:00:00,Expo,12,2,2,2
D1,2022-08-01 00:00:00,Hosts,12,8,5,10
D1,2022-08-01 00:00:00,Runners,12,4,7,6
D1,2022-08-01 00:00:00,Servers,12,13,18,15
D2,2022-08-01 00:00:00,Barback,12,2,2,1
D2,2022-08-01 00:00:00,Bartender,12,6,7,3
D2,2022-08-01 00:00:00,Expo,12,2,2,1
D2,2022-08-01 00:00:00,Hosts,12,3,4,3
D2,2022-08-01 00:00:00,Runners,12,5,5,4
D2,2022-08-01 00:00:00,Servers,12,9,11,9
D3,2022-08-01 00:00:00,Barback,12,2,2,2
D3,2022-08-01 00:00:00,Bartender,12,6,5,5
D3,2022-08-01 00:00:00,Expo,12,2,2,2
D3,2022-08-01 00:00:00,Hosts,12,6,6,5
D3,2022-08-01 00:00:00,Runners,12,5,8,6
D3,2022-08-01 00:00:00,Servers,12,13,15,10
D4,2022-08-01 00:00:00,Barback,12,2,2,1
D4,2022-08-01 00:00:00,Bartender,12,3,4,4
D4,2022-08-01 00:00:00,Expo,12,1,2,1
D4,2022-08-01 00:00:00,Hosts,12,4,5,4
D4,2022-08-01 00:00:00,Runners,12,4,5,4
D4,2022-08-01 00:00:00,Servers,12,10,12,9
D5,2022-08-01 00:00:00,Barback,12,1,1,1
D5,2022-08-01 00:00:00,Bartender,12,5,5,5
D5,2022-08-01 00:00:00,Expo,12,2,2,2
D5,2022-08-01 00:00:00,Hosts,12,6,5,5
D5,2022-08-01 00:00:00,Runners,12,6,6,5
D5,2022-08-01 00:00:00,Servers,12,11,10,8
D6,2022-08-01 00:00:00,Barback,12,1,0,1
D6,2022-08-01 00:00:00,Bartender,12,4,0,3
D6,2022-08-01 00:00:00,Expo,12,1,0,1
D6,2022-08-01 00:00:00,Hosts,12,6,0,3
D6,2022-08-01 00:00:00,Runners,12,4,0,2
D6,2022-08-01 00:00:00,Servers,12,7,0,5
D7,2022-08-01 00:00:00,Barback,12,1,1,0
D7,2022-08-01 00:00:00,Bartender,12,4,3,3
D7,2022-08-01 00:00:00,Expo,12,5,2,1
D7,2022-08-01 00:00:00,Hosts,12,4,4,3
D7,2022-08-01 00:00:00,Runners,12,2,5,3
D7,2022-08-01 00:00:00,Servers,12,5,4,3
D8,2022-08-01 00:00:00,Barback,12,,1,0
D8,2022-08-01 00:00:00,Bartender,12,5,5,5
D8,2022-08-01 00:00:00,Expo,12,2,1,1
D8,2022-08-01 00:00:00,Hosts,12,7,5,5
D8,2022-08-01 00:00:00,Runners,12,6,4,4
D8,2022-08-01 00:00:00,Servers,12,10,11,9
D1,2022-08-01 00:00:00,Barback,13,1,1,3
D1,2022-08-01 00:00:00,Bartender,13,5,4,6
D1,2022-08-01 00:00:00,Expo,13,2,2,2
D1,2022-08-01 00:00:00,Hosts,13,8,5,13
D1,2022-08-01 00:00:00,Runners,13,4,7,10
D1,2022-08-01 00:00:00,Servers,13,13,18,18
D2,2022-08-01 00:00:00,Barback,13,1,2,2
D2,2022-08-01 00:00:00,Bartender,13,6,7,5
D2,2022-08-01 00:00:00,Expo,13,2,2,2
D2,2022-08-01 00:00:00,Hosts,13,3,4,4
D2,2022-08-01 00:00:00,Runners,13,5,5,6
D2,2022-08-01 00:00:00,Servers,13,9,11,10
D3,2022-08-01 00:00:00,Barback,13,2,2,2
D3,2022-08-01 00:00:00,Bartender,13,6,5,7
D3,2022-08-01 00:00:00,Expo,13,2,2,2
D3,2022-08-01 00:00:00,Hosts,13,6,6,7
D3,2022-08-01 00:00:00,Runners,13,5,8,10
D3,2022-08-01 00:00:00,Servers,13,13,15,12
D4,2022-08-01 00:00:00,Barback,13,2,2,2
D4,2022-08-01 00:00:00,Bartender,13,7,4,5
D4,2022-08-01 00:00:00,Expo,13,1,2,2
D4,2022-08-01 00:00:00,Hosts,13,5,5,5
D4,2022-08-01 00:00:00,Runners,13,5,5,5
D4,2022-08-01 00:00:00,Servers,13,10,12,12
D5,2022-08-01 00:00:00,Barback,13,1,1,2
D5,2022-08-01 00:00:00,Bartender,13,4,5,6
D5,2022-08-01 00:00:00,Expo,13,2,2,2
D5,2022-08-01 00:00:00,Hosts,13,4,5,6
D5,2022-08-01 00:00:00,Runners,13,6,6,5
D5,2022-08-01 00:00:00,Servers,13,11,10,10
D6,2022-08-01 00:00:00,Barback,13,1,0,1
D6,2022-08-01 00:00:00,Bartender,13,4,0,4
D6,2022-08-01 00:00:00,Expo,13,1,0,1
D6,2022-08-01 00:00:00,Hosts,13,6,0,5
D6,2022-08-01 00:00:00,Runners,13,4,0,5
D6,2022-08-01 00:00:00,Servers,13,8,0,7
D7,2022-08-01 00:00:00,Barback,13,1,1,0
D7,2022-08-01 00:00:00,Bartender,13,4,3,3
D7,2022-08-01 00:00:00,Expo,13,5,2,1
D7,2022-08-01 00:00:00,Hosts,13,4,4,3
D7,2022-08-01 00:00:00,Runners,13,2,5,3
D7,2022-08-01 00:00:00,Servers,13,5,4,3
D8,2022-08-01 00:00:00,Barback,13,,1,0
D8,2022-08-01 00:00:00,Bartender,13,5,5,5
D8,2022-08-01 00:00:00,Expo,13,2,1,1
D8,2022-08-01 00:00:00,Hosts,13,7,5,6
D8,2022-08-01 00:00:00,Runners,13,6,4,5
D8,2022-08-01 00:00:00,Servers,13,10,11,10
D1,2022-08-01 00:00:00,Barback,14,1,1,3
D1,2022-08-01 00:00:00,Bartender,14,5,4,6
D1,2022-08-01 00:00:00,Expo,14,2,2,2
D1,2022-08-01 00:00:00,Hosts,14,8,5,13
D1,2022-08-01 00:00:00,Runners,14,4,7,10
D1,2022-08-01 00:00:00,Servers,14,13,18,18
D2,2022-08-01 00:00:00,Barback,14,1,2,2
D2,2022-08-01 00:00:00,Bartender,14,5,7,5
D2,2022-08-01 00:00:00,Expo,14,2,2,2
D2,2022-08-01 00:00:00,Hosts,14,3,4,4
D2,2022-08-01 00:00:00,Runners,14,5,5,6
D2,2022-08-01 00:00:00,Servers,14,9,11,10
D3,2022-08-01 00:00:00,Barback,14,2,2,2
D3,2022-08-01 00:00:00,Bartender,14,7,5,7
D3,2022-08-01 00:00:00,Expo,14,2,2,2
D3,2022-08-01 00:00:00,Hosts,14,7,6,7
D3,2022-08-01 00:00:00,Runners,14,7,8,10
D3,2022-08-01 00:00:00,Servers,14,13,15,12
D4,2022-08-01 00:00:00,Barback,14,1,1,1
D4,2022-08-01 00:00:00,Bartender,14,9,3,3
D4,2022-08-01 00:00:00,Expo,14,2,2,2
D4,2022-08-01 00:00:00,Hosts,14,8,5,4
D4,2022-08-01 00:00:00,Runners,14,5,5,5
D4,2022-08-01 00:00:00,Servers,14,12,12,11
D5,2022-08-01 00:00:00,Barback,14,1,1,2
D5,2022-08-01 00:00:00,Bartender,14,4,4,5
D5,2022-08-01 00:00:00,Expo,14,2,2,2
D5,2022-08-01 00:00:00,Hosts,14,4,5,6
D5,2022-08-01 00:00:00,Runners,14,6,6,5
D5,2022-08-01 00:00:00,Servers,14,11,10,10
D6,2022-08-01 00:00:00,Barback,14,1,0,1
D6,2022-08-01 00:00:00,Bartender,14,5,0,4
D6,2022-08-01 00:00:00,Expo,14,1,0,1
D6,2022-08-01 00:00:00,Hosts,14,5,0,4
D6,2022-08-01 00:00:00,Runners,14,4,0,4
D6,2022-08-01 00:00:00,Servers,14,9,0,6
D7,2022-08-01 00:00:00,Barback,14,1,1,0
D7,2022-08-01 00:00:00,Bartender,14,4,3,3
D7,2022-08-01 00:00:00,Expo,14,5,2,1
D7,2022-08-01 00:00:00,Hosts,14,3,4,3
D7,2022-08-01 00:00:00,Runners,14,2,5,3
D7,2022-08-01 00:00:00,Servers,14,5,4,3
D8,2022-08-01 00:00:00,Barback,14,,1,0
D8,2022-08-01 00:00:00,Bartender,14,3,5,5
D8,2022-08-01 00:00:00,Expo,14,2,1,1
D8,2022-08-01 00:00:00,Hosts,14,7,5,5
D8,2022-08-01 00:00:00,Runners,14,6,4,4
D8,2022-08-01 00:00:00,Servers,14,10,11,9
D1,2022-08-01 00:00:00,Barback,15,1,1,2
D1,2022-08-01 00:00:00,Bartender,15,5,4,6
D1,2022-08-01 00:00:00,Expo,15,2,2,2
D1,2022-08-01 00:00:00,Hosts,15,6,5,11
D1,2022-08-01 00:00:00,Runners,15,4,7,8
D1,2022-08-01 00:00:00,Servers,15,13,18,17
D2,2022-08-01 00:00:00,Barback,15,1,2,1
D2,2022-08-01 00:00:00,Bartender,15,9,7,3
D2,2022-08-01 00:00:00,Expo,15,2,2,1
D2,2022-08-01 00:00:00,Hosts,15,4,4,3
D2,2022-08-01 00:00:00,Runners,15,5,5,4
D2,2022-08-01 00:00:00,Servers,15,9,11,6
D3,2022-08-01 00:00:00,Barback,15,2,2,2
D3,2022-08-01 00:00:00,Bartender,15,7,5,4
D3,2022-08-01 00:00:00,Expo,15,2,2,2
D3,2022-08-01 00:00:00,Hosts,15,7,6,5
D3,2022-08-01 00:00:00,Runners,15,6,6,6
D3,2022-08-01 00:00:00,Servers,15,16,15,10
D4,2022-08-01 00:00:00,Barback,15,1,1,1
D4,2022-08-01 00:00:00,Bartender,15,4,3,3
D4,2022-08-01 00:00:00,Expo,15,2,2,2
D4,2022-08-01 00:00:00,Hosts,15,7,5,4
D4,2022-08-01 00:00:00,Runners,15,5,5,4
D4,2022-08-01 00:00:00,Servers,15,13,12,10
D5,2022-08-01 00:00:00,Barback,15,,1,1
D5,2022-08-01 00:00:00,Bartender,15,4,4,4
D5,2022-08-01 00:00:00,Expo,15,2,2,1
D5,2022-08-01 00:00:00,Hosts,15,3,5,5
D5,2022-08-01 00:00:00,Runners,15,6,6,5
D5,2022-08-01 00:00:00,Servers,15,10,10,7
D6,2022-08-01 00:00:00,Barback,15,1,0,1
D6,2022-08-01 00:00:00,Bartender,15,5,0,3
D6,2022-08-01 00:00:00,Expo,15,1,0,1
D6,2022-08-01 00:00:00,Hosts,15,5,0,3
D6,2022-08-01 00:00:00,Runners,15,4,0,2
D6,2022-08-01 00:00:00,Servers,15,13,0,5
D7,2022-08-01 00:00:00,Barback,15,1,1,0
D7,2022-08-01 00:00:00,Bartender,15,4,3,2
D7,2022-08-01 00:00:00,Expo,15,4,1,1
D7,2022-08-01 00:00:00,Hosts,15,3,3,3
D7,2022-08-01 00:00:00,Runners,15,1,4,3
D7,2022-08-01 00:00:00,Servers,15,5,4,3
D8,2022-08-01 00:00:00,Barback,15,,1,0
D8,2022-08-01 00:00:00,Bartender,15,3,5,2
D8,2022-08-01 00:00:00,Expo,15,2,1,1
D8,2022-08-01 00:00:00,Hosts,15,8,5,4
D8,2022-08-01 00:00:00,Runners,15,6,4,3
D8,2022-08-01 00:00:00,Servers,15,10,11,6
D1,2022-08-01 00:00:00,Barback,16,2,2,2
D1,2022-08-01 00:00:00,Bartender,16,4,5,5
D1,2022-08-01 00:00:00,Expo,16,3,2,2
D1,2022-08-01 00:00:00,Hosts,16,10,12,10
D1,2022-08-01 00:00:00,Runners,16,10,6,8
D1,2022-08-01 00:00:00,Servers,16,18,18,17
D2,2022-08-01 00:00:00,Barback,16,,1,1
D2,2022-08-01 00:00:00,Bartender,16,4,8,3
D2,2022-08-01 00:00:00,Expo,16,2,2,1
D2,2022-08-01 00:00:00,Hosts,16,4,7,3
D2,2022-08-01 00:00:00,Runners,16,6,4,3
D2,2022-08-01 00:00:00,Servers,16,7,7,6
D3,2022-08-01 00:00:00,Barback,16,1,3,2
D3,2022-08-01 00:00:00,Bartender,16,7,4,3
D3,2022-08-01 00:00:00,Expo,16,2,2,2
D3,2022-08-01 00:00:00,Hosts,16,6,6,5
D3,2022-08-01 00:00:00,Runners,16,3,5,6
D3,2022-08-01 00:00:00,Servers,16,18,14,10
D4,2022-08-01 00:00:00,Barback,16,2,2,1
D4,2022-08-01 00:00:00,Bartender,16,4,3,3
D4,2022-08-01 00:00:00,Expo,16,2,2,2
D4,2022-08-01 00:00:00,Hosts,16,2,5,4
D4,2022-08-01 00:00:00,Runners,16,6,5,5
D4,2022-08-01 00:00:00,Servers,16,10,14,11
D5,2022-08-01 00:00:00,Barback,16,1,1,1
D5,2022-08-01 00:00:00,Bartender,16,5,5,3
D5,2022-08-01 00:00:00,Expo,16,2,2,1
D5,2022-08-01 00:00:00,Hosts,16,5,5,5
D5,2022-08-01 00:00:00,Runners,16,5,6,5
D5,2022-08-01 00:00:00,Servers,16,11,9,7
D6,2022-08-01 00:00:00,Barback,16,1,0,1
D6,2022-08-01 00:00:00,Bartender,16,2,0,2
D6,2022-08-01 00:00:00,Expo,16,1,0,1
D6,2022-08-01 00:00:00,Hosts,16,4,0,3
D6,2022-08-01 00:00:00,Runners,16,4,0,2
D6,2022-08-01 00:00:00,Servers,16,12,0,5
D7,2022-08-01 00:00:00,Barback,16,2,1,0
D7,2022-08-01 00:00:00,Bartender,16,2,2,3
D7,2022-08-01 00:00:00,Expo,16,1,1,1
D7,2022-08-01 00:00:00,Hosts,16,4,4,3
D7,2022-08-01 00:00:00,Runners,16,2,5,4
D7,2022-08-01 00:00:00,Servers,16,8,4,4
D8,2022-08-01 00:00:00,Barback,16,1,1,0
D8,2022-08-01 00:00:00,Bartender,16,3,2,2
D8,2022-08-01 00:00:00,Expo,16,1,1,1
D8,2022-08-01 00:00:00,Hosts,16,6,5,4
D8,2022-08-01 00:00:00,Runners,16,3,3,3
D8,2022-08-01 00:00:00,Servers,16,12,9,6
D1,2022-08-01 00:00:00,Barback,17,2,2,3
D1,2022-08-01 00:00:00,Bartender,17,4,6,5
D1,2022-08-01 00:00:00,Expo,17,2,2,2
D1,2022-08-01 00:00:00,Hosts,17,7,11,11
D1,2022-08-01 00:00:00,Runners,17,7,9,10
D1,2022-08-01 00:00:00,Servers,17,13,19,18
D2,2022-08-01 00:00:00,Barback,17,1,2,1
D2,2022-08-01 00:00:00,Bartender,17,6,7,3
D2,2022-08-01 00:00:00,Expo,17,2,2,1
D2,2022-08-01 00:00:00,Hosts,17,5,7,3
D2,2022-08-01 00:00:00,Runners,17,3,5,3
D2,2022-08-01 00:00:00,Servers,17,4,5,9
D3,2022-08-01 00:00:00,Barback,17,2,3,2
D3,2022-08-01 00:00:00,Bartender,17,6,6,5
D3,2022-08-01 00:00:00,Expo,17,3,2,2
D3,2022-08-01 00:00:00,Hosts,17,5,11,7
D3,2022-08-01 00:00:00,Runners,17,3,6,10
